rank,refArea,region,score,surveysXXXused,standardXXXdeviation,percentileXXX90XXXlower,percentileXXX90XXXupper,min,max,africanXXXdevelopmentXXXbankXXXcountryXXXpolicyXXXandXXXinstitutionalXXXassessmentXXXgovernanceXXXratings,bertelsmannXXXfoundationXXXsustainableXXXgovernanceXXXindicators,bertelsmannXXXfoundationXXXtransformationXXXindex,internationalXXXinstituteXXXforXXXmanagementXXXdevelopmentXXXworldXXXcompetitivenessXXXyearbook,politicalXXXriskXXXservicesXXXinternationalXXXcountryXXXriskXXXguide,worldXXXbankXXXcountryXXXperformanceXXXandXXXinstitutionalXXXassessment,worldXXXeconomicXXXforumXXXexecutiveXXXopinionXXXsurvey,worldXXXjusticeXXXprojectXXXruleXXXofXXXlawXXXindex,economistXXXintelligenceXXXunitXXXcountryXXXriskXXXassessment,globalXXXinsightXXXcountryXXXriskXXXratings,politicalXXXandXXXeconomicXXXriskXXXconsultancyXXXasianXXXintelligence,transparencyXXXinternationalXXXbribeXXXpayersXXXsurvey,freedomXXXhouseXXXnationsXXXinXXXtransit
1,Denmark,EU,90,7,2,87,93,83,98,0,89,0,95,98,0,86,89,88,83,0,0,0
1,Finland,EU,90,7,3,85,95,83,100,0,89,0,90,100,0,91,87,88,83,0,0,0
1,New Zealand,AP,90,7,2.2,87,94,83,98,0,97,0,88,98,0,92,86,88,83,0,0,0
4,Sweden,EU,88,7,1.9,85,91,82,97,0,97,0,85,89,0,82,89,88,83,0,0,0
5,Singapore,AP,87,9,2.1,83,90,79,99,0,0,79,91,79,0,88,84,88,83,87,99,0
6,Switzerland,EU,86,6,2.6,81,90,73,90,0,89,0,90,89,0,85,0,88,73,0,0,0
7,Australia,AP,85,8,1.1,83,86,80,89,0,81,0,87,89,0,80,83,88,83,86,0,0
7,Norway,EU,85,7,1.6,82,87,78,89,0,81,0,78,89,0,85,88,88,83,0,0,0
9,Canada,AM,84,7,2.2,80,87,74,89,0,89,0,83,89,0,79,74,88,83,0,0,0
9,Netherlands,EU,84,7,2,81,88,73,89,0,73,0,86,89,0,84,87,88,83,0,0,0
11,Iceland,EU,82,6,4.1,75,89,71,98,0,89,0,80,98,0,81,0,71,73,0,0,0
12,Luxembourg,EU,80,6,2.8,75,85,71,89,0,81,0,81,89,0,86,0,71,73,0,0,0
13,Germany,EU,79,8,2.3,75,83,73,89,0,73,0,81,89,0,78,75,88,73,0,74,0
14,Hong Kong,AP,77,8,1.9,74,80,69,83,0,0,0,80,79,0,82,83,71,73,69,82,0
15,Barbados,AM,76,3,6.7,65,87,66,88,0,0,0,0,0,0,66,0,88,73,0,0,0
16,Belgium,EU,75,7,2.4,71,78,71,89,0,73,0,73,89,0,71,72,71,73,0,0,0
17,Japan,AP,74,9,2.3,70,78,57,79,0,57,0,78,79,0,79,78,71,73,78,73,0
17,United Kingdom,EU,74,8,1.3,72,77,69,81,0,73,0,76,69,0,81,73,71,73,0,77,0
19,United States,AM,73,9,4.1,66,79,50,89,0,89,0,77,69,0,64,69,88,73,76,50,0
20,Chile,AM,72,9,2.1,69,76,63,82,0,65,75,82,79,0,73,67,71,73,0,63,0
20,Uruguay,AM,72,6,1.5,70,75,69,79,0,0,79,0,69,0,69,71,71,73,0,0,0
